Itemset: [257], Utility: 3726.00
Itemset: [40], Utility: 8232.00
Itemset: [1551], Utility: 8598.00
Itemset: [1], Utility: 12496.00
Itemset: [280 1454 1371 1348 1344 107 1204 111 1217 767 597 191 1200 1 1167 1317 1214 1191], Utility: 3044.00
Itemset: [240], Utility: 7243.00
Itemset: [11 897 600 240 155 1340 55 672 38 882 338 1182 1332], Utility: 3033.00
Itemset: [55 672 11 897 388 1332 600 1182 38 1340 338 240 155 882], Utility: 3225.00
Itemset: [882 1332 338 1340 55 672 1182 240 155 11 897 1149 38 388 600], Utility: 3078.00
Itemset: [897 38 240 388 11 629 338 1340 155 1332 672 1182 600 882 55], Utility: 3145.00
Itemset: [672 1340 600 1332 338 240 55 11 897 1182 155 882 388], Utility: 3038.00
Itemset: [600 672 1182 240 38 1332 11 155 1340 55 882 897], Utility: 3068.00
Itemset: [600 672 1340 882 897 11 38 1332 388 55 155 1182 240], Utility: 3260.00
Itemset: [388 155 1340 882 1149 1332 1182 672 38 600 11 897 240 55], Utility: 3113.00
Itemset: [897 240 388 1332 629 38 1149 672 55 11 600 155 882 1182 1340], Utility: 3033.00
Itemset: [11 600 889 38 672 1182 55 155 897 388 1332 1340 882 240], Utility: 3006.00
Itemset: [897 11 388 55 240 629 1332 155 1182 38 672 1340 882 600], Utility: 3180.00
Itemset: [672 1340 240 882 55 1332 388 11 1182 155 600 897], Utility: 3073.00
Itemset: [897 11 600 55 155 882 240 38 1340 338 1332 672 388], Utility: 3036.00
Itemset: [672 240 882 155 38 1332 1340 55 388 600 897 11], Utility: 3071.00
Itemset: [897 672 388 38 1182 11 240 600 882 55 155 338 1340], Utility: 3154.00
Itemset: [1182 897 672 388 55 1149 38 155 338 240 11 1340 600 882], Utility: 3007.00
Itemset: [155 338 388 1182 11 600 55 240 629 672 38 1340 897 882], Utility: 3074.00
Itemset: [1182 600 38 1340 55 388 155 882 240 11 672 897], Utility: 3189.00
Itemset: [1182 38 55 1149 240 11 672 600 1340 388 155 882 897], Utility: 3042.00
Itemset: [11 672 1340 155 882 240 388 897 629 1182 600 38 55], Utility: 3109.00
Itemset: [11 882 672 600 155 55 240 1340 897 1182 388], Utility: 3002.00
